file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Condo/Coop Status Before Vacancy	Duration of Vacancy	Housing Unit Weight (5 implied decimal places)	Monthly Asking Rent Per Room Recode	Monthly asking rent	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Reason Unit Not Available for Rent or Sale	Sequence Number (Household)	Status Prior to Vacancy	Status of Vacant Unit	Sub-borough Area	Type of schedule	Vacant Unit Respondent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	Don't know	1 year or more	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	20 to 49 units	In Rem	Unit or building is awaiting renovation	221860	Don't know	Not available for rent or sale	08	Not available	Real estate agent/broker
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	Don't know	1 year or more	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	20 to 49 units	In Rem	There is a legal dispute involving the unit	281765	Don't know	Not available for rent or sale	08	Not available	Real estate agent/broker
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	Less than 1 month	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	4 bedrooms	6 rooms	10 to 12 units	In Rem	Unit or building is awaiting renovation	156137	Renter occupied	Not available for rent or sale	08	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	4 rooms	6 to 9 units	In Rem	Unit or building is awaiting renovation	775717	Renter occupied	Not available for rent or sale	02	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	3 rooms	4 units	In Rem	Unit or building is awaiting renovation	241239	Renter occupied	Not available for rent or sale	16	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	3 rooms	4 units	In Rem	Unit or building is awaiting renovation	998250	Renter occupied	Not available for rent or sale	16	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	3 rooms	4 units	In Rem	Unit or building is awaiting renovation	918441	Renter occupied	Not available for rent or sale	16	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	3 bedrooms	5 rooms	6 to 9 units	In Rem	Held for other reasons	981076	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	4 bedrooms	6 rooms	6 to 9 units	In Rem	Held for other reasons	003421	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Brooklyn	Sound	No	No	1 year or more	000641169	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	4 rooms	6 to 9 units	In Rem	Unit or building is undergoing renovation	982728	Renter occupied	Not available for rent or sale	04	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	1 year or more	018717295	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	3 rooms	100 units or more	Not applicable	There is a legal dispute involving the unit	431615	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	1 year or more	018717295	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	3 rooms	100 units or more	Not applicable	There is a legal dispute involving the unit	284791	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	1 year or more	018717295	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	2 rooms	100 units or more	Not applicable	There is a legal dispute involving the unit	487134	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	No	No	1 year or more	018717295	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	2 bedrooms	3 rooms	100 units or more	Not applicable	There is a legal dispute involving the unit	151855	Renter occupied	Not available for rent or sale	01	Not available	Rental office/agent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	No	1 year or more	028056678	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Unit or building is undergoing renovation	715490	Never previously occupied	Not available for rent or sale	01	Not available	Superintendent
lng11_vac11_web.dat	2011	Manhattan	Sound	Yes, a condominium	No	1 year or more	028056678	Not applicable (available for sale only or not available for rent or sale)	Not applicable (available for sale only or not available for rent or sale)	Not available vacant	1 bedrooms	3 rooms	100 units or more	Not applicable	Unit or building is undergoing renovation	887223	Never previously occupied	Not available for rent or sale	01	Not available	Superintendent
