file	year	Borough	Condition of Building (Observation)	Condo/Coop Status	Monthly Contract Rent	Most Recent Place Householder Lived For 6 Months or More	New Control Status Recode	Number of Bedrooms	Number of Rooms	Number of Units in Building	Program Status Input	Sequence Number (Household)	Sub-borough Area	Tenure (1)	Tenure (2)	Year Householder Moved into Unit Recode
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01100	Bronx	Stabilized pre 1947	1 bedrooms	2 rooms	20 to 49 units	  	795334	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01750	Bronx	Stabilized pre 1947	2 bedrooms	4 rooms	13 to 19 units	  	739427	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Manhattan	Owner occupied conventional	3 bedrooms	4 rooms	2 units without business	  	908921	01	Owned or being bought	Not applicable (owner occupied)	2000-2002
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01370	Bronx	Other rental	2 bedrooms	4 rooms	2 units without business	  	589722	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Queens	Owner occupied conventional	3 bedrooms	4 rooms	2 units without business	  	117708	01	Owned or being bought	Not applicable (owner occupied)	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Bronx	Owner occupied conventional	3 bedrooms	6 rooms	1 unit with business	  	189965	01	Owned or being bought	Not applicable (owner occupied)	2000-2002
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00617	Bronx	Public housing	2 bedrooms	4 rooms	6 to 9 units	  	575485	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00750	Manhattan	Public housing	2 bedrooms	4 rooms	6 to 9 units	  	333333	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01070	Dominican Republic	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	050124	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	Coop	01233	Not reported	Stabilized pre 1947	2 bedrooms	3 rooms	20 to 49 units	  	766370	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00400	Bronx	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	000585	01	N/A (renter)	Pay cash rent	1995-1999
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01022	Bronx	Stabilized post 1947	2 bedrooms	4 rooms	50 to 99 units	  	135337	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01022	Manhattan	Stabilized post 1947	2 bedrooms	3 rooms	50 to 99 units	  	594658	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01180	Bronx	Stabilized post 1947	3 bedrooms	5 rooms	50 to 99 units	  	435742	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01300	Bronx	Stabilized post 1947	2 bedrooms	3 rooms	50 to 99 units	  	856736	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00202	Bronx	Public housing	1 bedrooms	2 rooms	100 units or more	  	227694	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00420	Bronx	Public housing	3 bedrooms	4 rooms	50 to 99 units	  	167353	01	N/A (renter)	Pay cash rent	2000-2002
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00420	Manhattan	Public housing	1 bedrooms	2 rooms	100 units or more	  	444778	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00241	Always lived in this unit	Public housing	2 bedrooms	3 rooms	100 units or more	  	602271	01	N/A (renter)	Pay cash rent	1970-1979
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00406	Always lived in this unit	Public housing	2 bedrooms	4 rooms	100 units or more	  	253764	01	N/A (renter)	Pay cash rent	1969 or earlier
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00243	Bronx	Public housing	2 bedrooms	4 rooms	100 units or more	  	488685	01	N/A (renter)	Pay cash rent	1990-1994
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00243	Always lived in this unit	Public housing	3 bedrooms	5 rooms	100 units or more	  	109384	01	N/A (renter)	Pay cash rent	2003-2005
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Manhattan	Stabilized pre 1947	1 bedrooms	3 rooms	50 to 99 units	  	143253	01	N/A (renter)	Occupy rent free	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Manhattan	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	009353	01	N/A (renter)	Occupy rent free	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	Not applicable (occupied rent free or owner occupied)	Bronx	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	757960	01	N/A (renter)	Occupy rent free	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00860	Not reported	Stabilized post 1947	2 bedrooms	4 rooms	50 to 99 units	  	366901	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00780	Bronx	Stabilized post 1947	1 bedrooms	3 rooms	50 to 99 units	  	744117	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00940	Always lived in this unit	Stabilized post 1947	2 bedrooms	4 rooms	50 to 99 units	  	578308	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00757	Always lived in this unit	Stabilized post 1947	1 bedrooms	5 rooms	50 to 99 units	  	039211	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01270	Bronx	Stabilized pre 1947	1 bedrooms	2 rooms	20 to 49 units	  	957453	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01200	Other unit in same building	Stabilized pre 1947	2 bedrooms	4 rooms	20 to 49 units	  	804819	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01651	Bronx	Stabilized pre 1947	3 bedrooms	5 rooms	20 to 49 units	  	709247	01	N/A (renter)	Pay cash rent	2003-2005
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01200	Bronx	Stabilized pre 1947	1 bedrooms	4 rooms	20 to 49 units	  	080702	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Deteriorating	No	01750	Manhattan	Stabilized pre 1947	2 bedrooms	3 rooms	20 to 49 units	  	516710	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Deteriorating	No	01750	Central America, South America 15=Canada	Stabilized pre 1947	2 bedrooms	4 rooms	50 to 99 units	  	884919	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Deteriorating	No	01100	Bronx	Stabilized pre 1947	2 bedrooms	4 rooms	20 to 49 units	  	032117	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00757	Always lived in this unit	Stabilized post 1947	1 bedrooms	3 rooms	100 units or more	  	409955	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00400	Always lived in this unit	Stabilized post 1947	1 bedrooms	3 rooms	100 units or more	  	572128	01	N/A (renter)	Pay cash rent	2003-2005
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00757	Manhattan	Stabilized post 1947	1 bedrooms	3 rooms	100 units or more	  	977988	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00800	Bronx	Public housing	1 bedrooms	2 rooms	50 to 99 units	  	895954	01	N/A (renter)	Pay cash rent	1995-1999
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00548	Bronx	Public housing	1 bedrooms	3 rooms	100 units or more	  	569599	01	N/A (renter)	Pay cash rent	2003-2005
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00235	Bronx	Public housing	No bedroom	1 rooms	100 units or more	  	034465	01	N/A (renter)	Pay cash rent	1985-1989
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00235	Bronx	Public housing	1 bedrooms	3 rooms	50 to 99 units	  	675923	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00231	Not reported	Stabilized pre 1947	2 bedrooms	4 rooms	20 to 49 units	  	696525	01	N/A (renter)	Pay cash rent	1969 or earlier
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00730	Bronx	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	758569	01	N/A (renter)	Pay cash rent	1985-1989
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00949	Other unit in same building	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	068247	01	N/A (renter)	Pay cash rent	2000-2002
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00700	Manhattan	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	773038	01	N/A (renter)	Pay cash rent	2003-2005
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01100	Bronx	Stabilized pre 1947	1 bedrooms	3 rooms	20 to 49 units	  	111579	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00988	Manhattan	Stabilized pre 1947	2 bedrooms	4 rooms	20 to 49 units	  	429650	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01650	Bronx	Mitchell Lama rental	3 bedrooms	4 rooms	50 to 99 units	  	004034	01	N/A (renter)	Pay cash rent	1980-1984
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01895	Always lived in this unit	Mitchell Lama rental	4 bedrooms	5 rooms	50 to 99 units	  	217860	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01300	Bronx	Mitchell Lama rental	2 bedrooms	3 rooms	50 to 99 units	  	998430	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01349	Bronx	Stabilized post 1947	2 bedrooms	4 rooms	100 units or more	  	437388	01	N/A (renter)	Pay cash rent	2006-2008
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00847	Bronx	Stabilized post 1947	1 bedrooms	3 rooms	100 units or more	  	168181	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00990	Bronx	Other rental	2 bedrooms	3 rooms	100 units or more	  	548039	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00488	Bronx	Public housing	2 bedrooms	4 rooms	100 units or more	  	628940	01	N/A (renter)	Pay cash rent	2000-2002
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01100	Bronx	Public housing	2 bedrooms	4 rooms	100 units or more	  	889318	01	N/A (renter)	Pay cash rent	2003-2005
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00376	Bronx	Public housing	1 bedrooms	3 rooms	100 units or more	  	746314	01	N/A (renter)	Pay cash rent	1995-1999
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00428	Bronx	Public housing	3 bedrooms	5 rooms	100 units or more	  	116546	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01200	Bronx	Stabilized pre 1947	3 bedrooms	4 rooms	20 to 49 units	  	650604	01	N/A (renter)	Pay cash rent	2009-2011
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00573	Other unit in same building	Stabilized pre 1947	2 bedrooms	4 rooms	20 to 49 units	  	251504	01	N/A (renter)	Pay cash rent	1970-1979
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01100	Other state	Stabilized pre 1947	2 bedrooms	3 rooms	20 to 49 units	  	155044	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	01050	Bronx	Stabilized pre 1947	2 bedrooms	4 rooms	20 to 49 units	  	668156	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00404	Brooklyn	Public housing	3 bedrooms	4 rooms	100 units or more	  	750542	01	N/A (renter)	Pay cash rent	2012 or later
uf_14_occ_web_b.txt	2014	Bronx	Sound	No	00404	Bronx	Public housing	1 bedrooms	2 rooms	100 units or more	  	871753	01	N/A (renter)	Pay cash rent	1990-1994
